CODIGO, CREDITOS, REQUISITOS
MC102, 6, ""
F 128, 4, ""
MA111, 6, ""
MA141, 4, ""
F 129, 2, ""
MC009, 2, ""
MA327, 4, "MA141"
MA211, 6, "MA111, MA141"
MC202, 6, "MC102"
MC322, 4, "MC202"
MA311, 6, "MA211"
ME323, 4, "MA211"
MC358, 4, ""
F 328, 4, "F128, MA111, MA141"
F 329, 2, "MA111, F129"
MC458, 4, "MC358, MC202"
MC536, 6, "MC322"
MC602, 4, ""
MC404, 4, "MC202"
MC426, 4, "MC322"
MC558, 4, "MA327, MC458"
MC750, 4, "MC322"
MS211, 4, "MA11, MA141, MC102"
MC504, 4, "MC404"
MC732, 4, "MC602, MC404"
MC832, 4, "MC504"
MC714, 4, "MC504"
MC833, 2, "MC832"
MC921, 6, "MC504"
CE839, 2, ""
CE738, 4, ""
CE304, 2, ""
